Date,NASDQ_PX_LAST
10/25/2022,11199.12
10/24/2022,10952.61
10/21/2022,10859.72
10/20/2022,10614.84
10/19/2022,10680.51
10/18/2022,10772.4
10/17/2022,10675.8
10/14/2022,10321.39
10/13/2022,10649.15
10/12/2022,10417.1
10/11/2022,10426.19
10/10/2022,10542.1
10/7/2022,10652.4
10/6/2022,11073.31
10/5/2022,11148.64
10/4/2022,11176.41
10/3/2022,10815.43
9/30/2022,10575.62
9/29/2022,10737.51
9/28/2022,11051.64
9/27/2022,10829.5
9/26/2022,10802.92
9/23/2022,10867.93
9/22/2022,11066.8
9/21/2022,11220.19
9/20/2022,11425.05
9/19/2022,11535.02
9/16/2022,11448.4
9/15/2022,11552.36
9/14/2022,11719.68
9/13/2022,11633.57
9/12/2022,12266.41
9/9/2022,12112.31
9/8/2022,11862.13
9/7/2022,11791.9
9/6/2022,11544.91
9/2/2022,11630.86
9/1/2022,11785.13
8/31/2022,11816.2
8/30/2022,11883.14
8/29/2022,12017.67
8/26/2022,12141.71
8/25/2022,12639.27
8/24/2022,12431.53
8/23/2022,12381.3
8/22/2022,12381.57
8/19/2022,12705.21
8/18/2022,12965.34
8/17/2022,12938.12
8/16/2022,13102.55
8/15/2022,13128.05
8/12/2022,13047.19
8/11/2022,12779.91
8/10/2022,12854.8
8/9/2022,12493.93
8/8/2022,12644.46
8/5/2022,12657.55
8/4/2022,12720.58
8/3/2022,12668.16
8/2/2022,12348.76
8/1/2022,12368.98
7/29/2022,12390.69
7/28/2022,12162.59
7/27/2022,12032.42
7/26/2022,11562.57
7/25/2022,11782.67
7/22/2022,11834.11
7/21/2022,12059.61
7/20/2022,11897.65
7/19/2022,11713.15
7/18/2022,11360.05
7/15/2022,11452.42
7/14/2022,11251.19
7/13/2022,11247.58
7/12/2022,11264.73
7/11/2022,11372.6
7/8/2022,11635.31
7/7/2022,11621.35
7/6/2022,11361.85
7/5/2022,11322.24
7/1/2022,11127.84
6/30/2022,11028.74
6/29/2022,11177.89
6/28/2022,11181.54
6/27/2022,11524.55
